adult_population,workbound,homebound
737.1288289141675,473.0,21.0
3675.524982716067,381.0,16600.0
4382.155322705755,4417.0,1430.0
6068.265535294507,3900.0,2273.0
7762.106813537582,16808.0,4832.0
5884.248839609438,2683.0,1624.0
4800.48818487017,2973.0,479.0
7980.276995456723,3150.0,2868.0
3736.35677736543,3510.0,1053.0
7666.461851170553,1112.0,301.0
4434.48429645639,-84.0,3394.0
893.387823671894,514.0,45.0
3900.003313069163,712.0,4660.0
1293.2772751494613,-101.0,15024.0
1515.6100432769954,1021.0,747.0
3072.507207614849,1322.0,3958.0
2229.5825521319944,1106.0,237.0
2799.791578047855,5551.0,9444.0
2628.3899617078173,4085.0,2788.0
4516.497406009387,1581.0,1080.0
2350.3388970811234,1490.0,1471.0
3833.31563398848,856.0,909.0
4683.29598853775,1939.0,720.0
3706.5726499518787,3142.0,2079.0
161.70841880516724,599.0,881.0
106.97423800831434,205.0,179.0
34.275042316152685,820.0,259.0
3787.5976261393416,2268.0,1368.0
2211.524260974093,2499.0,559.0
6039.080928804548,1002.0,4086.0
7964.334320358326,6577.0,5182.0
2972.866326199375,4315.0,808.0
1301.6311382158347,975.0,-51.0
2885.873218605588,-615.0,9617.0
3409.278578642471,1434.0,1180.0
8325.104270959306,2454.0,1205.0
2452.197368230438,1015.0,112.0
3996.064521518628,877.0,445.0
5239.358079810635,1064.0,423.0
4261.616607134392,970.0,226.0
1258.5887335616717,-7.0,1290.0
1540.2539965255878,537.0,256.0
9234.21778566363,2870.0,956.0
5324.928724346436,1719.0,378.0
6846.919584439876,310.0,63.0
6748.184047226658,2959.0,2297.0
1980.8264061307034,279.0,412.0
2982.323339399408,1741.0,574.0
8490.489016655265,3765.0,1094.0
7263.299581017721,1188.0,334.0
7639.283867563042,25269.0,18613.0
3442.983307700344,456.0,886.0
2642.6570863522015,-138.0,5296.0
7722.865909231701,1667.0,1347.0
4625.742145901478,719.0,808.0
2577.989562924956,2769.0,916.0
4348.677042958176,666.0,903.0
1148.5917110391729,-285.0,4176.0
6607.750598459485,3517.0,888.0
6545.168413081614,4248.0,1021.0
958.1261750993322,18621.0,22565.0
2204.596743189352,22091.0,20072.0
6966.487793143303,1696.0,267.0
5625.26454742242,3622.0,747.0
298.1525229285588,180.0,4530.0
3504.372781030947,981.0,3497.0
6700.244108346709,5469.0,3193.0
6847.061844835222,4847.0,2600.0
2240.959488246734,980.0,389.0
1007.4868583710501,670.0,20698.0
2724.3486562400385,5087.0,1244.0
7851.3058086860565,435.0,2712.0
2863.341815284783,1241.0,670.0
4390.3119263779645,1600.0,291.0
3409.4101735539884,1993.0,2503.0
2211.90190118478,394.0,-200.0
220.45078114419573,7264.0,4662.0
3376.649225463413,1213.0,193.0
4177.713166196805,539.0,200.0
3394.5281810655706,2087.0,937.0
2621.845049321729,1467.0,290.0
1848.2284731009706,954.0,954.0
1842.961195278519,1868.0,741.0
2336.5873192752006,954.0,-31.0
5767.651556946033,4071.0,3750.0
1836.0414625586836,1224.0,147.0
9876.935174509465,2907.0,10584.0
2175.516465783467,950.0,412.0
7103.179624349888,2652.0,1944.0
1820.491731169214,-1323.0,18585.0
5209.682167610536,18062.0,10897.0
1089.5382651263544,439.0,903.0
7445.717034961639,4048.0,1565.0
1838.378541849704,958.0,520.0
1353.436186595387,-566.0,8990.0
12030.21457422756,2899.0,3822.0
1924.1931319237267,2818.0,375.0
8764.249446006464,1494.0,513.0
2689.837714321943,1711.0,224.0
3057.278904999853,1933.0,1634.0
7245.757799834285,3098.0,788.0
